question,gold_answer,KG answer,taxonomy_label,confidence,source
What is record label of Pink Floyd?,Tower Records,Columbia Graphophone Co. Ltd.|Harvest|Columbia Records|EMI|Capitol Records|Parlophone|Warner Music Group|Tower Records|Sony Music,Higher accuracy in KG than in Table,0.567750865095884,SimpleQA/CompMix_table_simple_qa/00187.json
"Of all the 50 largest companies by revenue, list the number of those companies per country.","[['United States', 15], ['Saudi Arabia', 1], ['China', 13], ['The Netherlands', 1], ['U.S.', 5], ['United Kingdom', 1], ['Singapore', 1], ['Germany', 4], ['Japan', 2], ['France', 1], ['Switzerland', 1], ['UK', 1], ['South Korea', 1], ['Taiwan', 1], ['Netherlands', 1], ['Russia', 1]]","Czech Republic (lang:en)|16
South Korea (lang:en)|8
United States (lang:en)|5
Russia (lang:en)|4
People's Republic of China (lang:en)|2
Japan (lang:en)|2
Empire of Japan (lang:en)|1
Switzerland (lang:en)|1
Saudi Arabia (lang:en)|1",Different answer,major,ComplexQA/Monaco_time_complex/00077.json
how long is the famous suspension bridge in san francisco and what is it called,"8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)",Golden Gate Bridge (lang:en)|8981.0,Higher accuracy in KG than in Table,major,SimpleQA/NQ_table_test_simple/00928.json
what is the Nick name of Man united?,Red Devils,Setan Merah|The Red Devils|红魔,Higher accuracy in KG than in Table,0.5377929165174798,SimpleQA/CompMix_table_simple_qa/00049.json
"Of the Career Future Doubles finals matches played in September , one of Mauricio Echazú 's opponents played on the Davis Cup team for what country",Ecuador,Moldova (lang:en),Different answer,major,ComplexQA/OTT_QA_dev_complex/00170.json
how many breeds of pigs are there in the uk,---,11,Higher accuracy in KG than in Table,major,SimpleQA/NQ_table_test_simple/00435.json
when did the passion of the christ come out,"February 25, 2004",2004-01-01T00:00:00Z|2004-02-25T00:00:00Z|2004-03-05T00:00:00Z|2004-03-18T00:00:00Z|2004-04-02T00:00:00Z,Higher accuracy in KG than in Table,0.5294117647058824,SimpleQA/NQ_table_test_simple/00366.json
"Over what years was the rider for the 1986 Tour de France team in general classification listed as the most successful cycling team of all time , professional",1985 to 1997,1984|1991,Different answer,major,ComplexQA/OTT_QA_dev_complex/00039.json
Return the major ancestry groups of Asian Americans along with the languages and major religions practiced by each group.,"[['Chinese American', 'various varieties of Chinese', '52% Irreligion'], ['Filipino Americans', 'Filipino', 'Christianity'], ['Vietnamese Americans', 'English', 'Buddhism (43%)'], ['Indian Americans', 'Hindi', 'Hinduism'], ['Indian Americans', 'Hindi', 'Christianity'], ['Indian Americans', 'Hindi', 'Islam'], ['Indian Americans', 'Hindi', 'Sikhism'], ['Indian Americans', 'Hindi', 'Other religion'], ['Indian Americans', 'Hindi', 'No religion'], ['Korean Americans', 'English', '61% Protestantism'], ['Korean Americans', 'English', '23% Unaffiliated'], ['Korean Americans', 'English', '10% Roman Catholicism'], ['Korean Americans', 'English', '6% Buddhism'], ['Korean Americans', 'Korean', '61% Protestantism'], ['Korean Americans', 'Korean', '23% Unaffiliated'], ['Korean Americans', 'Korean', '10% Roman Catholicism'], ['Korean Americans', 'Korean', '6% Buddhism'], ['Japanese Americans', 'American English', 'Protestantism'], ['Japanese Americans', 'American English', 'Unaffiliated'], ['Japanese Americans', 'American English', 'Buddhism'], ['Japanese Americans', 'American English', 'Catholicism'], ['Japanese Americans', 'American English', 'Shinto'], ['Japanese Americans', 'Japanese', 'Protestantism'], ['Japanese Americans', 'Japanese', 'Unaffiliated'], ['Japanese Americans', 'Japanese', 'Buddhism'], ['Japanese Americans', 'Japanese', 'Catholicism'], ['Japanese Americans', 'Japanese', 'Shinto']]","Chinese Americans (lang:en)|Putonghua|
Filipino Americans (lang:en)|English, Taglish, Filipino|Christianity, Islam, Catholicism
Indian Americans (lang:en)|English, Hindi|Jainism, Hinduism, Buddhism, Sikhism, Christianity, Islam
Japanese Americans (lang:en)|Japanese|Christianity, Buddhism, Shinto
Korean Americans (lang:en)|Korean, Korean Sign Language|Buddhism, Catholicism, Protestantism
Vietnamese Americans (lang:en)|Vietnamese|Hòa Hảo, Protestantism, Buddhism, Caodaism, Catholicism",Different answer,major,ComplexQA/Monaco_non_time_complex/00024.json
Show names of Marvel movies ordered by box office performance for all films released after 2010.,"['Avengers: Endgame', 'Avengers: Infinity War', 'Spider-Man: No Way Home', 'The Avengers', 'Avengers: Age of Ultron', 'Black Panther', 'Iron Man 3', 'Captain America: Civil War', 'Spider-Man: Far From Home', 'Captain Marvel', 'Doctor Strange in the Multiverse of Madness', 'Spider-Man: Homecoming', 'Guardians of the Galaxy Vol. 2', 'Thor: Ragnarok', 'Black Panther: Wakanda Forever', 'Guardians of the Galaxy Vol. 3', 'Guardians of the Galaxy', 'Thor: Love and Thunder', 'Captain America: The Winter Soldier', 'Doctor Strange', 'Thor: The Dark World', 'Ant-Man and the Wasp', 'Ant-Man', 'Ant-Man and the Wasp: Quantumania', 'Thor', 'Shang-Chi and the Legend of the Ten Rings', 'Eternals', 'Black Widow', 'Captain America: The First Avenger']","Avengers: Endgame|Avengers: Endgame (lang:en)|2797501328.0
Avengers: Infinity War|Avengers: Infinity War (lang:en)|2048359754.0
Spider-Man: No Way Home|Spider-Man: No Way Home (lang:en)|1921847111.0
The Avengers|The Avengers (lang:en)|1518812988.0
Avengers: Age of Ultron|Avengers: Age of Ultron (lang:en)|1402805868.0
Black Panther|Black Panther (lang:en)|1347597973.0
Deadpool & Wolverine|Deadpool & Wolverine (lang:en)|1338073645.0
Iron Man 3|Iron Man 3 (lang:en)|1214811252.0
Captain America: Civil War|Captain America: Civil War (lang:en)|1153296293.0
Spider-Man: Far From Home|Spider-Man: Far From Home (lang:en)|1131927996.0",Temporal changes,major,ComplexQA/Monaco_time_complex/00030.json
